activation,loss,n_batch,n_epochs,n_neurons,steps_in,steps_out,modelo,RMSE_global,RMSE_t+1,RMSE_t+2,RMSE_t+3
relu,mse,32,1000,"[150, 150]",14,3,../results/models/modelo_298_RMSE_10.4603.keras,10.460338008069593,7.337187375117926,10.771684335644059,12.585408683266781
relu,mse,32,1000,"[150, 150]",30,3,../results/models/modelo_299_RMSE_8.6343.keras,8.634336258280388,5.823691767002922,8.952423917834606,10.468715683477685
relu,mse,32,1500,[50],3,3,../results/models/modelo_300_RMSE_12.5984.keras,12.598411734378962,7.17223286227849,12.114198302835891,16.672288683190242
relu,mse,32,1500,[50],5,3,../results/models/modelo_301_RMSE_12.9204.keras,12.92037405026476,7.050835717678205,12.726587082822814,17.003761163398707
relu,mse,32,1500,[50],7,3,../results/models/modelo_302_RMSE_11.7132.keras,11.713225158408742,6.771855775989424,11.145868760002356,15.540608410507641
relu,mse,32,1500,[50],14,3,../results/models/modelo_303_RMSE_9.0920.keras,9.092034717347397,6.045513897340978,9.137780674916813,11.311410697102502
relu,mse,32,1500,[50],30,3,../results/models/modelo_304_RMSE_9.0933.keras,9.093286518911334,6.496156491610531,9.205968620192527,11.005165684603783
relu,mse,32,1500,[100],3,3,../results/models/modelo_305_RMSE_13.9621.keras,13.962123777173842,7.634661684542011,13.448300072965152,18.592414238539366
relu,mse,32,1500,[100],5,3,../results/models/modelo_306_RMSE_13.1314.keras,13.131372781668684,7.842007501422775,12.224432448322379,17.503286064550252
relu,mse,32,1500,[100],7,3,../results/models/modelo_307_RMSE_11.7371.keras,11.737146051037557,7.15744258018521,11.422678191903746,15.217596094840921
relu,mse,32,1500,[100],14,3,../results/models/modelo_308_RMSE_9.1720.keras,9.172008996673416,6.036674945663376,9.154875041709554,11.494523290517867
relu,mse,32,1500,[100],30,3,../results/models/modelo_309_RMSE_7.7085.keras,7.708503756969783,5.695701069638447,8.104553369617403,8.951999470397343
relu,mse,32,1500,[150],3,3,../results/models/modelo_310_RMSE_13.0951.keras,13.095071614703079,7.552666735022247,12.576723343573429,17.298148944656212
relu,mse,32,1500,[150],5,3,../results/models/modelo_311_RMSE_12.1569.keras,12.15692734918284,6.720894846557482,11.530595457401333,16.286423443445223
relu,mse,32,1500,[150],7,3,../results/models/modelo_312_RMSE_13.2573.keras,13.257292555104563,8.11576742960558,12.286263754251861,17.619576035319437
relu,mse,32,1500,[150],14,3,../results/models/modelo_313_RMSE_9.4675.keras,9.467453011747045,6.880268909065022,9.297027572193548,11.624335578850982
relu,mse,32,1500,[150],30,3,../results/models/modelo_314_RMSE_8.5666.keras,8.566630531965842,6.4654278435126145,8.682429501344224,10.147666567647324
relu,mse,32,1500,"[50, 50]",3,3,../results/models/modelo_315_RMSE_13.4994.keras,13.499388622568269,7.608160878818737,12.898742754601038,17.956581048240118
relu,mse,32,1500,"[50, 50]",5,3,../results/models/modelo_316_RMSE_13.5420.keras,13.542015005251862,7.3379100629326635,12.75971491663815,18.26207168866209
relu,mse,32,1500,"[50, 50]",7,3,../results/models/modelo_317_RMSE_11.0391.keras,11.039123988400695,6.92687121011829,11.008705832593503,14.01476458681013
relu,mse,32,1500,"[50, 50]",14,3,../results/models/modelo_318_RMSE_8.9418.keras,8.941824975455422,6.10673307171529,9.040764263282965,10.992774645265834
relu,mse,32,1500,"[50, 50]",30,3,../results/models/modelo_319_RMSE_8.4180.keras,8.417961263871625,6.66779043831755,8.845108626247761,9.481077975667533
relu,mse,32,1500,"[50, 100]",3,3,../results/models/modelo_320_RMSE_11.1273.keras,11.127265804185297,6.633000703566006,10.826512937324612,14.499587998126358
relu,mse,32,1500,"[50, 100]",5,3,../results/models/modelo_321_RMSE_12.4400.keras,12.439963578443516,6.802638286750506,11.890953663749853,16.630917437267062
relu,mse,32,1500,"[50, 100]",7,3,../results/models/modelo_322_RMSE_12.5545.keras,12.55452448410916,7.362550853381172,11.838437549412417,16.688094450425663
relu,mse,32,1500,"[50, 100]",14,3,../results/models/modelo_323_RMSE_9.0978.keras,9.097754348997492,6.906608411162547,9.16722453335677,10.796673431848776
relu,mse,32,1500,"[50, 100]",30,3,../results/models/modelo_324_RMSE_9.5876.keras,9.587586985286379,6.786101615204274,10.444711739840745,10.982818132931701
relu,mse,32,1500,"[50, 150]",3,3,../results/models/modelo_325_RMSE_14.0095.keras,14.009515298124105,7.555908675404733,13.228952417542029,18.886572444159164
relu,mse,32,1500,"[50, 150]",5,3,../results/models/modelo_326_RMSE_12.3298.keras,12.329812633644304,8.549521943646152,11.590700917204275,15.768137668264995
relu,mse,32,1500,"[50, 150]",7,3,../results/models/modelo_327_RMSE_11.7903.keras,11.790345759031418,6.74923123930885,11.310304671133288,15.606461651412486
relu,mse,32,1500,"[50, 150]",14,3,../results/models/modelo_328_RMSE_9.5589.keras,9.558872974563736,6.956509190807429,9.8436786093972,11.350115811948466
relu,mse,32,1500,"[50, 150]",30,3,../results/models/modelo_329_RMSE_8.1571.keras,8.157142477483104,6.042709800502947,8.559776483159077,9.478016934946885
relu,mse,32,1500,"[100, 50]",3,3,../results/models/modelo_330_RMSE_12.7858.keras,12.785755763120678,7.251423028890493,12.304407865996954,16.92468795652641
relu,mse,32,1500,"[100, 50]",5,3,../results/models/modelo_331_RMSE_15.1565.keras,15.156482162089834,7.570534915565496,13.921107916907099,20.929563063935962
relu,mse,32,1500,"[100, 50]",7,3,../results/models/modelo_332_RMSE_11.0949.keras,11.094885737666006,6.655111293852836,10.907317324999996,14.353723943067205
relu,mse,32,1500,"[100, 50]",14,3,../results/models/modelo_333_RMSE_9.8064.keras,9.806370889005114,6.965978447189142,10.145537687695636,11.706320486772285
relu,mse,32,1500,"[100, 50]",30,3,../results/models/modelo_334_RMSE_7.3343.keras,7.334261263883569,5.702970005756437,7.32107199351082,8.67480275510532
relu,mse,32,1500,"[100, 100]",3,3,../results/models/modelo_335_RMSE_12.1713.keras,12.171274482526288,6.89200293065355,11.791722353774722,16.058497660813075
relu,mse,32,1500,"[100, 100]",5,3,../results/models/modelo_336_RMSE_12.8120.keras,12.811967184339123,6.949990884700127,11.750280576058826,17.494800441394794
relu,mse,32,1500,"[100, 100]",7,3,../results/models/modelo_337_RMSE_11.6314.keras,11.631420112301129,6.860502163217457,11.073553665713067,15.36813979529048
relu,mse,32,1500,"[100, 100]",14,3,../results/models/modelo_338_RMSE_10.4645.keras,10.464450127820747,6.880772537776283,10.775368794453597,12.84758911468771
relu,mse,32,1500,"[100, 100]",30,3,../results/models/modelo_339_RMSE_8.5907.keras,8.590680680840398,6.087356098400708,8.900798743311299,10.252768462362992
relu,mse,32,1500,"[100, 150]",3,3,../results/models/modelo_340_RMSE_11.6784.keras,11.678364879829548,6.776355776313983,11.364488419117746,15.29973934954002
relu,mse,32,1500,"[100, 150]",5,3,../results/models/modelo_341_RMSE_12.8121.keras,12.812058446196184,7.507456179927691,12.178054322157411,16.964068483688983
relu,mse,32,1500,"[100, 150]",7,3,../results/models/modelo_342_RMSE_12.7529.keras,12.75292393264676,6.862463644935172,12.302320793680364,17.013838552982293
relu,mse,32,1500,"[100, 150]",14,3,../results/models/modelo_343_RMSE_10.2897.keras,10.289736721301422,6.3471021018266764,10.417664451158817,12.993175426859523
