Datetime,R1
2020-08-30 20:00:00,242.337
2020-08-30 21:00:00,232.901
2020-08-30 22:00:00,213.868
2020-08-30 23:00:00,211.493
2020-08-31 00:00:00,222.572
2020-08-31 01:00:00,192.28
2020-08-31 02:00:00,181.873
2020-08-31 03:00:00,174.107
2020-08-31 04:00:00,158.131
2020-08-31 05:00:00,155.893
2020-08-31 06:00:00,175.344
2020-08-31 07:00:00,195.143
2020-08-31 08:00:00,221.14
2020-08-31 09:00:00,238.057
2020-08-31 10:00:00,238.927
2020-08-31 11:00:00,241.289
2020-08-31 12:00:00,247.825
2020-08-31 13:00:00,259.346
2020-08-31 14:00:00,258.234
2020-08-31 15:00:00,243.4
2020-08-31 16:00:00,255.053
2020-08-31 17:00:00,261.851
2020-08-31 18:00:00,236.638
2020-08-31 19:00:00,269.14
2020-08-31 20:00:00,253.862
2020-08-31 21:00:00,252.685
2020-08-31 22:00:00,239.981
2020-08-31 23:00:00,228.73
2020-09-01 00:00:00,225.97
2020-09-01 01:00:00,195.307
2020-09-01 02:00:00,178.979
2020-09-01 03:00:00,159.202
2020-09-01 04:00:00,149.432
2020-09-01 05:00:00,138.34
2020-09-01 06:00:00,165.703
2020-09-01 07:00:00,206.568
2020-09-01 08:00:00,234.903
2020-09-01 09:00:00,258.159
2020-09-01 10:00:00,255.656
2020-09-01 11:00:00,240.244
2020-09-01 12:00:00,242.087
2020-09-01 13:00:00,249.914
2020-09-01 14:00:00,251.094
2020-09-01 15:00:00,246.876
2020-09-01 16:00:00,236.851
2020-09-01 17:00:00,241.492
2020-09-01 18:00:00,248.932
2020-09-01 19:00:00,266.168
2020-09-01 20:00:00,252.181
2020-09-01 21:00:00,251.867
2020-09-01 22:00:00,247.43
2020-09-01 23:00:00,234.926
2020-09-02 00:00:00,233.201
2020-09-02 01:00:00,206.217
2020-09-02 02:00:00,197.497
2020-09-02 03:00:00,179.337
2020-09-02 04:00:00,164.362
2020-09-02 05:00:00,163.269
2020-09-02 06:00:00,176.187
2020-09-02 07:00:00,203.704
2020-09-02 08:00:00,232.126
2020-09-02 09:00:00,251.679
2020-09-02 10:00:00,247.503
2020-09-02 11:00:00,242.509
2020-09-02 12:00:00,255.333
2020-09-02 13:00:00,250.664
2020-09-02 14:00:00,249.573
2020-09-02 15:00:00,240.063
2020-09-02 16:00:00,241.185
2020-09-02 17:00:00,249.047
2020-09-02 18:00:00,252.045
2020-09-02 19:00:00,261.483
2020-09-02 20:00:00,252.791
2020-09-02 21:00:00,244.511
2020-09-02 22:00:00,238.532
2020-09-02 23:00:00,237.333
2020-09-03 00:00:00,223.91
2020-09-03 01:00:00,197.047
2020-09-03 02:00:00,173.64
2020-09-03 03:00:00,155.28
2020-09-03 04:00:00,152.949
2020-09-03 05:00:00,154.194
2020-09-03 06:00:00,175.909
2020-09-03 07:00:00,198.806
2020-09-03 08:00:00,231.776
2020-09-03 09:00:00,261.934
2020-09-03 10:00:00,250.03
2020-09-03 11:00:00,238.308
2020-09-03 12:00:00,238.91
2020-09-03 13:00:00,241.757
2020-09-03 14:00:00,239.801
2020-09-03 15:00:00,237.928
2020-09-03 16:00:00,236.183
2020-09-03 17:00:00,244.175
2020-09-03 18:00:00,246.251
2020-09-03 19:00:00,259.733
2020-09-03 20:00:00,251.334
2020-09-03 21:00:00,243.458
2020-09-03 22:00:00,235.628
2020-09-03 23:00:00,230.258
2020-09-04 00:00:00,227.918
2020-09-04 01:00:00,204.521
2020-09-04 02:00:00,193.638
2020-09-04 03:00:00,175.433
2020-09-04 04:00:00,167.35
2020-09-04 05:00:00,157.536
2020-09-04 06:00:00,178.373
2020-09-04 07:00:00,206.34
2020-09-04 08:00:00,235.282
2020-09-04 09:00:00,254.97
2020-09-04 10:00:00,255.843
2020-09-04 11:00:00,248.978
2020-09-04 12:00:00,242.954
2020-09-04 13:00:00,243.47
2020-09-04 14:00:00,246.627
2020-09-04 15:00:00,246.72
2020-09-04 16:00:00,258.947
2020-09-04 17:00:00,256.382
2020-09-04 18:00:00,247.47
2020-09-04 19:00:00,252.269
2020-09-04 20:00:00,250.849
2020-09-04 21:00:00,245.248
2020-09-04 22:00:00,235.789
2020-09-04 23:00:00,229.564
2020-09-05 00:00:00,229.184
2020-09-05 01:00:00,206.341
2020-09-05 02:00:00,195.388
2020-09-05 03:00:00,176.584
2020-09-05 04:00:00,160.062
2020-09-05 05:00:00,146.21
2020-09-05 06:00:00,163.204
2020-09-05 07:00:00,179.116
2020-09-05 08:00:00,191.938
2020-09-05 09:00:00,214.744
2020-09-05 10:00:00,217.09
2020-09-05 11:00:00,228.27
2020-09-05 12:00:00,233.611
2020-09-05 13:00:00,233.518
2020-09-05 14:00:00,233.678
2020-09-05 15:00:00,233.5
2020-09-05 16:00:00,227.132
2020-09-05 17:00:00,238.798
2020-09-05 18:00:00,231.791
2020-09-05 19:00:00,247.256
2020-09-05 20:00:00,251.472
2020-09-05 21:00:00,244.738
2020-09-05 22:00:00,237.692
2020-09-05 23:00:00,227.636
2020-09-06 00:00:00,226.079
2020-09-06 01:00:00,202.695
2020-09-06 02:00:00,181.902
2020-09-06 03:00:00,178.379
2020-09-06 04:00:00,173.196
2020-09-06 05:00:00,161.642
2020-09-06 06:00:00,174.964
2020-09-06 07:00:00,178.678
2020-09-06 08:00:00,184.991
2020-09-06 09:00:00,205.065
2020-09-06 10:00:00,217.384
2020-09-06 11:00:00,227.248
2020-09-06 12:00:00,233.103
2020-09-06 13:00:00,234.221
2020-09-06 14:00:00,232.038
2020-09-06 15:00:00,233.809
2020-09-06 16:00:00,233.244
2020-09-06 17:00:00,240.512
2020-09-06 18:00:00,241.242
2020-09-06 19:00:00,252.444
2020-09-06 20:00:00,253.816
2020-09-06 21:00:00,250.238
2020-09-06 22:00:00,246.542
2020-09-06 23:00:00,240.756
2020-09-07 00:00:00,231.377
2020-09-07 01:00:00,206.779
2020-09-07 02:00:00,181.095
2020-09-07 03:00:00,174.74
2020-09-07 04:00:00,170.159
2020-09-07 05:00:00,167.912
2020-09-07 06:00:00,185.107
2020-09-07 07:00:00,207.063
2020-09-07 08:00:00,245.479
2020-09-07 09:00:00,257.521
2020-09-07 10:00:00,247.173
2020-09-07 11:00:00,233.261
2020-09-07 12:00:00,236.968
2020-09-07 13:00:00,241.539
2020-09-07 14:00:00,243.275
2020-09-07 15:00:00,243.526
2020-09-07 16:00:00,240.145
2020-09-07 17:00:00,228.804
2020-09-07 18:00:00,233.723
2020-09-07 19:00:00,250.718
2020-09-07 20:00:00,245.259
2020-09-07 21:00:00,244.485
2020-09-07 22:00:00,236.12
2020-09-07 23:00:00,226.854
2020-09-08 00:00:00,220.616
2020-09-08 01:00:00,189.342
2020-09-08 02:00:00,174.558
