Datetime,R1,R2,R3,R4,R5,R6
2020-08-27 13:00:00,216.897,28.474,33.862,24.921,8.564,25.856
2020-08-27 14:00:00,211.624,26.642,31.729,22.37,8.72,24.473
2020-08-27 15:00:00,204.92,26.938,29.924,21.433,7.967,22.803
2020-08-27 16:00:00,211.74,25.384,30.059,21.668,8.661,22.788
2020-08-27 17:00:00,215.637,27.439,35.687,27.103,9.893,26.179
2020-08-27 18:00:00,212.566,26.644,36.335,29.037,8.921,29.583
2020-08-27 19:00:00,222.018,27.166,35.504,29.245,8.497,29.588
2020-08-27 20:00:00,202.157,23.859,31.902,25.121,8.34,22.992
2020-08-27 21:00:00,210.04,26.578,30.357,20.605,6.132,22.883
2020-08-27 22:00:00,207.574,23.343,26.667,19.304,6.835,19.748
2020-08-27 23:00:00,207.542,23.132,25.945,18.156,6.185,19.091
2020-08-28 00:00:00,200.74,20.909,24.887,16.359,7.179,17.902
2020-08-28 01:00:00,166.03,18.057,20.764,12.721,5.163,14.093
2020-08-28 02:00:00,158.067,21.612,21.166,12.011,4.595,13.066
2020-08-28 03:00:00,146.11,16.932,24.665,11.511,4.332,10.657
2020-08-28 04:00:00,146.807,13.232,25.361,10.862,4.639,1.995
2020-08-28 05:00:00,140.549,13.913,23.802,11.651,1.75,1.501
2020-08-28 06:00:00,155.436,16.157,22.592,11.95,2.338,6.302
2020-08-28 07:00:00,177.368,16.12,20.084,14.378,2.946,13.023
2020-08-28 08:00:00,200.456,22.544,23.979,17.275,3.673,19.22
2020-08-28 09:00:00,217.449,24.786,29.272,22.346,5.322,24.683
2020-08-28 10:00:00,163.461,19.479,22.309,15.345,4.88,17.739
2020-08-28 11:00:00,217.726,27.601,31.75,21.527,7.141,23.189
2020-08-28 12:00:00,223.138,29.757,35.062,24.139,9.296,27.843
2020-08-28 13:00:00,222.078,29.783,34.841,25.227,9.333,28.771
2020-08-28 14:00:00,216.336,29.142,31.45,24.177,8.662,26.017
2020-08-28 15:00:00,211.194,26.62,30.463,22.053,8.78,25.09
2020-08-28 16:00:00,200.7,26.767,31.493,23.185,7.859,25.289
2020-08-28 17:00:00,210.976,27.35,34.775,26.462,8.219,27.823
2020-08-28 18:00:00,216.835,27.411,35.041,28.581,9.245,31.584
2020-08-28 19:00:00,223.835,28.341,37.083,28.863,8.272,29.52
2020-08-28 20:00:00,227.553,29.417,36.217,27.012,8.952,26.811
2020-08-28 21:00:00,215.997,25.711,31.476,24.779,6.653,23.238
2020-08-28 22:00:00,211.71,25.3,29.705,21.03,7.006,21.657
2020-08-28 23:00:00,204.298,24.212,29.247,19.484,6.652,19.602
2020-08-29 00:00:00,207.686,22.34,28.039,16.961,8.833,17.788
2020-08-29 01:00:00,187.469,22.584,22.895,12.134,4.844,13.998
2020-08-29 02:00:00,173.948,26.895,25.588,10.316,5.609,6.169
2020-08-29 03:00:00,156.995,28.405,27.3,11.847,5.454,1.85
2020-08-29 04:00:00,150.435,24.497,25.3,14.298,5.946,1.602
2020-08-29 05:00:00,148.884,19.683,19.362,14.882,6.048,1.512
2020-08-29 06:00:00,152.485,20.655,18.134,13.889,3.576,6.195
2020-08-29 07:00:00,160.666,15.485,16.715,12.207,2.298,10.215
2020-08-29 08:00:00,171.618,17.582,19.955,14.301,3.397,12.001
2020-08-29 09:00:00,185.916,19.476,22.973,16.243,4.452,13.553
2020-08-29 10:00:00,159.332,18.749,22.099,15.908,4.844,14.59
2020-08-29 11:00:00,206.429,25.657,29.752,22.398,6.261,21.327
2020-08-29 12:00:00,213.187,27.052,31.373,23.635,7.606,24.501
2020-08-29 13:00:00,215.622,24.023,29.67,23.566,7.285,24.168
2020-08-29 14:00:00,211.92,24.473,30.137,24.404,7.05,22.549
2020-08-29 15:00:00,206.096,24.034,30.713,25.202,7.738,23.078
2020-08-29 16:00:00,207.721,25.666,31.725,24.529,8.635,23.268
2020-08-29 17:00:00,209.688,24.744,31.229,23.798,7.88,23.451
2020-08-29 18:00:00,211.845,27.628,32.342,24.972,8.127,24.549
2020-08-29 19:00:00,223.338,28.687,33.804,25.676,9.179,27.002
2020-08-29 20:00:00,227.832,26.657,32.981,25.888,8.561,25.651
2020-08-29 21:00:00,219.977,26.965,30.112,21.545,8.629,23.293
2020-08-29 22:00:00,211.94,25.773,27.808,19.081,7.543,20.11
2020-08-29 23:00:00,210.406,24.679,26.516,18.823,7.005,19.521
2020-08-30 00:00:00,205.838,22.825,25.874,17.792,6.55,19.299
2020-08-30 01:00:00,190.199,20.594,19.439,13.585,4.179,15.253
2020-08-30 02:00:00,175.978,26.845,24.012,12.589,4.323,4.345
2020-08-30 03:00:00,165.499,29.528,24.997,11.702,4.52,2.035
2020-08-30 04:00:00,163.797,27.005,20.679,11.883,3.77,1.514
2020-08-30 05:00:00,157.538,23.436,14.815,12.039,4.631,1.342
2020-08-30 06:00:00,162.266,21.646,18.131,14.1,3.9,6.083
2020-08-30 07:00:00,165.128,14.951,17.773,11.88,2.929,11.139
2020-08-30 08:00:00,167.63,16.355,20.094,13.725,3.205,11.132
2020-08-30 09:00:00,183.271,19.322,20.627,14.447,3.492,12.375
2020-08-30 10:00:00,204.851,22.966,24.348,17.128,5.939,18.309
2020-08-30 11:00:00,220.543,28.808,31.598,22.164,6.632,20.583
2020-08-30 12:00:00,226.674,31.528,33.723,22.703,8.681,22.647
2020-08-30 13:00:00,211.685,30.154,32.999,20.911,8.619,20.666
2020-08-30 14:00:00,221.831,28.928,30.728,21.299,7.838,19.206
2020-08-30 15:00:00,220.748,27.298,31.027,20.276,8.449,19.823
2020-08-30 16:00:00,223.814,25.99,31.331,22.551,8.263,20.808
2020-08-30 17:00:00,228.311,27.852,32.179,22.203,9.846,23.137
2020-08-30 18:00:00,234.659,28.154,33.343,24.633,9.524,25.721
